TrainFirstMulThenAdd,TrainGaussStdMul,TrainGaussStdAdd,InfFirstMulThenAdd,InfGaussStdMul,InfGaussStdAdd,Accuracy
True,0.5994842503189408,46.41588833612773,False,9.999999999999999e-05,9.999999999999999e-05,61.12
True,0.5994842503189408,46.41588833612773,False,0.00774263682681127,9.999999999999999e-05,61.05
True,0.5994842503189408,46.41588833612773,False,0.5994842503189408,9.999999999999999e-05,69.4
True,0.5994842503189408,46.41588833612773,False,46.41588833612773,9.999999999999999e-05,14.93
True,0.5994842503189408,46.41588833612773,False,3593.8136638046253,9.999999999999999e-05,13.58
True,0.5994842503189408,46.41588833612773,False,278255.94022071257,9.999999999999999e-05,13.94
True,0.5994842503189408,46.41588833612773,False,21544346.90031878,9.999999999999999e-05,13.96
True,0.5994842503189408,46.41588833612773,False,1668100537.2000556,9.999999999999999e-05,13.48
True,0.5994842503189408,46.41588833612773,False,129154966501.48827,9.999999999999999e-05,14.18
True,0.5994842503189408,46.41588833612773,False,10000000000000.0,9.999999999999999e-05,13.7
True,0.5994842503189408,46.41588833612773,False,9.999999999999999e-05,0.00774263682681127,61.13
True,0.5994842503189408,46.41588833612773,False,0.00774263682681127,0.00774263682681127,61.05
True,0.5994842503189408,46.41588833612773,False,0.5994842503189408,0.00774263682681127,69.08
True,0.5994842503189408,46.41588833612773,False,46.41588833612773,0.00774263682681127,14.92
True,0.5994842503189408,46.41588833612773,False,3593.8136638046253,0.00774263682681127,13.81
True,0.5994842503189408,46.41588833612773,False,278255.94022071257,0.00774263682681127,13.48
True,0.5994842503189408,46.41588833612773,False,21544346.90031878,0.00774263682681127,13.98
True,0.5994842503189408,46.41588833612773,False,1668100537.2000556,0.00774263682681127,13.79
True,0.5994842503189408,46.41588833612773,False,129154966501.48827,0.00774263682681127,14.13
True,0.5994842503189408,46.41588833612773,False,10000000000000.0,0.00774263682681127,14.1
True,0.5994842503189408,46.41588833612773,False,9.999999999999999e-05,0.5994842503189408,61.1
True,0.5994842503189408,46.41588833612773,False,0.00774263682681127,0.5994842503189408,61.12
True,0.5994842503189408,46.41588833612773,False,0.5994842503189408,0.5994842503189408,69.42
True,0.5994842503189408,46.41588833612773,False,46.41588833612773,0.5994842503189408,14.38
True,0.5994842503189408,46.41588833612773,False,3593.8136638046253,0.5994842503189408,14.27
True,0.5994842503189408,46.41588833612773,False,278255.94022071257,0.5994842503189408,14.34
True,0.5994842503189408,46.41588833612773,False,21544346.90031878,0.5994842503189408,14.27
True,0.5994842503189408,46.41588833612773,False,1668100537.2000556,0.5994842503189408,13.79
True,0.5994842503189408,46.41588833612773,False,129154966501.48827,0.5994842503189408,13.78
True,0.5994842503189408,46.41588833612773,False,10000000000000.0,0.5994842503189408,14.24
True,0.5994842503189408,46.41588833612773,False,9.999999999999999e-05,46.41588833612773,64.8
True,0.5994842503189408,46.41588833612773,False,0.00774263682681127,46.41588833612773,64.83
True,0.5994842503189408,46.41588833612773,False,0.5994842503189408,46.41588833612773,68.8
True,0.5994842503189408,46.41588833612773,False,46.41588833612773,46.41588833612773,13.88
True,0.5994842503189408,46.41588833612773,False,3593.8136638046253,46.41588833612773,13.7
True,0.5994842503189408,46.41588833612773,False,278255.94022071257,46.41588833612773,13.53
True,0.5994842503189408,46.41588833612773,False,21544346.90031878,46.41588833612773,13.13
True,0.5994842503189408,46.41588833612773,False,1668100537.2000556,46.41588833612773,13.24
True,0.5994842503189408,46.41588833612773,False,129154966501.48827,46.41588833612773,12.91
True,0.5994842503189408,46.41588833612773,False,10000000000000.0,46.41588833612773,13.19
True,0.5994842503189408,46.41588833612773,False,9.999999999999999e-05,3593.8136638046253,10.87
True,0.5994842503189408,46.41588833612773,False,0.00774263682681127,3593.8136638046253,10.5
True,0.5994842503189408,46.41588833612773,False,0.5994842503189408,3593.8136638046253,10.57
True,0.5994842503189408,46.41588833612773,False,46.41588833612773,3593.8136638046253,9.83
True,0.5994842503189408,46.41588833612773,False,3593.8136638046253,3593.8136638046253,9.86
True,0.5994842503189408,46.41588833612773,False,278255.94022071257,3593.8136638046253,9.82
True,0.5994842503189408,46.41588833612773,False,21544346.90031878,3593.8136638046253,9.8
True,0.5994842503189408,46.41588833612773,False,1668100537.2000556,3593.8136638046253,9.94
True,0.5994842503189408,46.41588833612773,False,129154966501.48827,3593.8136638046253,10.14
True,0.5994842503189408,46.41588833612773,False,10000000000000.0,3593.8136638046253,10.24
True,0.5994842503189408,46.41588833612773,False,9.999999999999999e-05,278255.94022071257,9.9
True,0.5994842503189408,46.41588833612773,False,0.00774263682681127,278255.94022071257,10.14
True,0.5994842503189408,46.41588833612773,False,0.5994842503189408,278255.94022071257,10.13
True,0.5994842503189408,46.41588833612773,False,46.41588833612773,278255.94022071257,9.97
True,0.5994842503189408,46.41588833612773,False,3593.8136638046253,278255.94022071257,10.05
True,0.5994842503189408,46.41588833612773,False,278255.94022071257,278255.94022071257,10.03
True,0.5994842503189408,46.41588833612773,False,21544346.90031878,278255.94022071257,10.04
True,0.5994842503189408,46.41588833612773,False,1668100537.2000556,278255.94022071257,10.2
